Meeting Date,300-325,325-350,350-375,375-400,400-425,425-450,450-475,475-500,500-525
9/16/2026,0.0,0.0,34.6,65.4,0.0,0.0,0.0,0.0,
10/28/2026,0.0,0.0,25.4,57.2,17.4,0.0,0.0,0.0,0.0
12/9/2026,0.0,0.0,10.8,38.9,40.3,10.0,0.0,0.0,0.0
1/27/2027,0.0,0.0,7.9,31.5,40.0,18.0,2.6,0.0,0.0
3/17/2027,0.0,1.8,13.3,33.4,34.9,14.5,2.0,0.0,0.0
4/28/2027,0.0,0.5,4.9,18.8,33.8,29.4,11.1,1.5,0.0
6/9/2027,0.0,0.4,4.5,17.3,32.2,29.9,13.1,2.5,0.2
7/28/2027,0.0,0.4,4.3,16.9,31.7,29.9,13.6,2.9,0.2
9/15/2027,0.0,0.7,5.2,17.9,31.6,28.8,12.9,2.7,0.2
10/27/2027,0.0,0.7,5.3,18.0,31.6,28.6,12.8,2.7,0.2
12/8/2027,0.1,1.2,6.7,19.5,31.2,26.9,11.7,2.4,0.2
