Meeting Date,325-350,350-375,375-400,400-425,425-450,450-475,475-500,500-525
9/16/2026,0.0,33.1,66.9,0.0,0.0,0.0,0.0,
10/28/2026,0.0,22.5,56.0,21.5,0.0,0.0,0.0,0.0
12/9/2026,0.0,9.0,36.0,42.1,12.8,0.0,0.0,0.0
1/27/2027,0.0,6.8,29.2,40.6,20.2,3.2,0.0,0.0
3/17/2027,0.0,4.3,20.9,36.4,27.7,9.5,1.2,0.0
4/28/2027,0.0,3.5,18.1,33.7,29.2,12.6,2.6,0.2
6/9/2027,0.0,2.9,15.5,30.9,30.0,15.6,4.4,0.6
7/28/2027,0.0,2.8,15.2,30.6,30.0,15.9,4.6,0.7
9/15/2027,0.0,2.8,15.1,30.5,30.0,16.0,4.7,0.7
10/27/2027,0.1,3.4,15.8,30.5,29.4,15.5,4.5,0.7
12/8/2027,0.5,4.7,17.4,30.4,27.9,14.3,4.1,0.6
